image,PSNR_dB,SSIM,LPIPS
000000,31.5448180816532,0.8960018931348548,0.135807454586029
000001,32.01341643072862,0.8692173266609907,0.2106887996196746
000002,32.42976838357658,0.8761607823276519,0.2343311011791229
000003,33.1382365039987,0.8877122085011006,0.2763745784759521
000004,21.097506814310908,0.5988657616229606,0.3059960007667541
000005,28.249793776614972,0.6737178123922571,0.2636999487876892
000006,28.359123644816524,0.6723498921316862,0.2691398561000824
000007,28.193517075261177,0.6757380094145388,0.282257080078125
000008,21.73027774942917,0.693772540030241,0.2500129044055938
000009,23.6378232484571,0.7217291413658224,0.2406276762485504
000010,24.44576873319576,0.7264465935959076,0.2356446385383606
000011,23.77644233588311,0.737781092446208,0.2378032505512237
000012,30.49021554478921,0.739253596419692,0.3245825171470642
000013,24.572681422294103,0.900782935539931,0.1461680978536605
000014,25.73527321271828,0.9208820664585085,0.1038103699684143
000015,24.192257014138757,0.8943933369419277,0.1265500783920288
000016,27.97568482123376,0.7830265723483711,0.2514874041080475
000017,23.743489005342724,0.831737557998077,0.1462445557117462
000018,23.857587759594125,0.825847912071459,0.1580096334218979
000019,23.73258572561607,0.8315113860357366,0.155676782131195
000020,31.982815750418236,0.8374964767319877,0.3470086753368377
000021,31.3956573421955,0.8770482573443903,0.279600441455841
000022,31.410522892738157,0.8758760580463409,0.2807777523994446
000023,31.7352667628066,0.879609394797191,0.2851599156856537
000024,19.46013027067085,0.5992677299119961,0.353142648935318
000025,22.60223692604076,0.7242010728261471,0.2377324104309082
000026,22.750725308930548,0.7256008059700727,0.2357607185840606
000027,22.52170686078209,0.7151356379543096,0.2472321093082428
000028,28.64386217733244,0.7065591244830247,0.3262163400650024
000029,24.952909545757027,0.751371696541728,0.2193862944841385
000030,25.84843880066026,0.7708494513797499,0.2398455291986465
000031,25.213090240019017,0.7614863001786766,0.2295462638139724
000032,30.805666891726883,0.8736041454340462,0.2137583494186401
000033,24.39185129740462,0.6507208937801421,0.2627317905426025
000034,24.76600683242705,0.6069602651439374,0.3296517729759216
000035,24.22815976649913,0.650939995058674,0.2627134025096893
000036,29.454541149047643,0.7742352423576065,0.4698498845100403
000037,26.78741564930462,0.6649889204536518,0.2342917472124099
000038,26.237573746607247,0.6361812127761394,0.2031855881214141
000039,26.868244864453636,0.6759599796211919,0.2380168437957763
000040,24.828241532160508,0.7553229068489317,0.2642223834991455
000041,25.72923533545632,0.8551751096595666,0.1215862110257148
000042,24.7611656647484,0.8342448187083882,0.1174103990197181
000043,25.78572876725816,0.8562029002144337,0.1288986206054687
000044,19.511518239770183,0.7518135540044261,0.1917212307453155
000045,24.010108074388405,0.7207910192971342,0.2809608578681946
000046,23.830334083295817,0.7287324618758643,0.2608855664730072
000047,23.67748174951123,0.7178877538140854,0.2915637493133545
000048,30.27540634942175,0.8958161367648355,0.1326509565114975
000049,17.073137915691223,0.3187492676569001,0.3016064763069153
000050,16.962410912326593,0.3174882883375885,0.29883673787117
000051,16.758778060502497,0.3101509664992272,0.3287260830402374
000052,26.29550216697655,0.3751597535242736,0.693401038646698
000053,25.436210734293105,0.6852182411392629,0.3741344809532165
000054,25.73541640159697,0.6870787604452372,0.3615650534629822
000055,26.82359432787946,0.7636769340849147,0.2741163372993469
000056,26.729574042841463,0.8822683726783991,0.1176748424768447
000057,31.0389656206436,0.6947762912304402,0.2900437414646148
000058,31.59172329092509,0.7147961641221047,0.372117280960083
000059,31.08349384505135,0.6920166523663998,0.3171607553958893
000060,26.60903205679712,0.6833210130159916,0.2922390401363373
000061,31.368509579857275,0.8010156489146352,0.3595080375671386
000062,31.0467188273573,0.7895379845473767,0.3622338771820068
000063,30.88781327923896,0.7951512392634154,0.3279094696044922
000064,28.724352666797884,0.9009771396148504,0.1684414893388748
000065,27.265152600303697,0.7270109035293162,0.2369967103004455
000066,27.422487671457706,0.7442097290394166,0.228853166103363
000067,26.347759277518804,0.7255270465703011,0.3081042766571045
000068,28.16039126429516,0.7476580424161589,0.3994185626506805
000069,32.50403301743289,0.9219792377724052,0.0937421321868896
000070,32.39121891713496,0.9226625404598116,0.0920816957950592
000071,32.68219874975525,0.9256274198805092,0.0963058844208717
000072,25.33691956677089,0.7394397159131766,0.2478499114513397
000073,24.851159332223048,0.6352240651893932,0.3733018636703491
000074,24.58010178725064,0.6467583304323371,0.3329846858978271
000075,24.18955995797131,0.6457786459359591,0.2764936983585357
000076,32.774134263589815,0.8932086986827541,0.1921022683382034
000077,33.299220155721265,0.8275445000200271,0.390901654958725
000078,30.17506367401752,0.7201078891075552,0.4460555911064148
000079,33.03799973041639,0.8158352999727726,0.3020271062850952
000080,25.26539186725193,0.8225757099588112,0.1790760308504104
000081,25.9861284118056,0.7777357955453359,0.2184132635593414
000082,26.11957820422001,0.7761086875252733,0.1713685989379882
000083,26.181858484286145,0.7719093819196853,0.1961358040571212
000084,22.653339447670504,0.6351907766895695,0.2801186442375183
000085,20.09907035486864,0.7328027304791063,0.2072047889232635
000086,19.027431499614952,0.7209893101312499,0.2041391432285308
